responderId,Master_Incident_Number,alertId,MB_IncidentAdd,CAD_Lat_with_fuzziness,CAD_Long_with_fuzziness,respondersLatitude_with_fuzziness,respondersLongitude_with_fuzziness,alertLatitude_with_fuzziness,alertLongitude_with_fuzziness,responderCallStatus,meterDistanceFromTheIncident,notificationTimeFormattedDate,acceptanceTimeFormattedDate,rejectionTimeFormattedDate,droppedTimeFormattedDate,onSceneTimeFormattedDate,withPatientTimeFormattedDate,DHB,Time_PhonePickUp,Time_CallEnteredQueue,Time_First_Unit_Assigned,Time_First_Unit_Arrived,defibObtainedTimeFormattedDate
,33,,305000,,,,,,,Not Seen,,,,,,,,,,,,,
,33,,305000,,,,,,,Not Seen,,,,,,,,,,,,,
,33,,305000,,,,,,,Not Seen,,,,,,,,,,,,,
,34,,701400,,,,,,,,,,,,,,,,,,,,
,35,,378902,,,,,,,,,,,,,,,,,,,,
,36,,632900,,,,,,,Rejected,,,,,,,,,,,,,
,36,,632900,,,,,,,Rejected,,,,,,,,,,,,,
,37,,774431,,,,,,,Rejected,,,,,,,,,,,,,
,38,,397900,,,,,,,,,,,,,,,,,,,,
,39,,673700,,,,,,,,,,,,,,,,,,,,
,40,,591702,,,,,,,Not Seen,,,,,,,,,,,,,
,40,,591702,,,,,,,Rejected,,,,,,,,,,,,,
,41,,224240,,,,,,,Not Seen,,,,,,,,,,,,,
,41,,224240,,,,,,,Not Seen,,,,,,,,,,,,,
,41,,224240,,,,,,,Rejected,,,,,,,,,,,,,
,42,,749002,,,,,,,Not Seen,,,,,,,,,,,,,
,42,,749002,,,,,,,Not Seen,,,,,,,,,,,,,
,42,,749002,,,,,,,Accepted But Dropped Later,,,,,,,,,,,,,
,43,,437101,,,,,,,Not Seen,,,,,,,,,,,,,
,43,,437101,,,,,,,Not Seen,,,,,,,,,,,,,
,43,,437101,,,,,,,Not Seen,,,,,,,,,,,,,
,43,,437101,,,,,,,Not Seen,,,,,,,,,,,,,
,43,,437101,,,,,,,Rejected,,,,,,,,,,,,,
,44,,692900,,,,,,,Not Seen,,,,,,,,,,,,,
,44,,692900,,,,,,,Not Seen,,,,,,,,,,,,,
,44,,692900,,,,,,,Not Seen,,,,,,,,,,,,,
,44,,692900,,,,,,,Not Seen,,,,,,,,,,,,,
,45,,661000,,,,,,,,,,,,,,,,,,,,
,46,,774303,,,,,,,,,,,,,,,,,,,,
,47,,775813,,,,,,,Not Seen,,,,,,,,,,,,,
,48,,433003,,,,,,,Not Seen,,,,,,,,,,,,,
,48,,433003,,,,,,,Not Seen,,,,,,,,,,,,,
,48,,433003,,,,,,,Not Seen,,,,,,,,,,,,,
,48,,433003,,,,,,,Rejected,,,,,,,,,,,,,
,48,,433003,,,,,,,Accepted,,,,,,,,,,,,,
,49,,767922,,,,,,,Rejected,,,,,,,,,,,,,
